timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
155686600,-0.017347382,-0.0078682685,0.015129943,4000,0,-0.28405866,-0.035683308,-9.9058,4000
155690600,0.017900728,-0.0120468205,0.006683051,4000,0,-0.7860737,0.5596869,-9.776994,4000
155694600,0.022724535,0.042842507,0.007833631,4000,0,0.058696866,0.6397133,-10.174172,4000
155698600,-0.0018805371,0.012294462,0.016640998,4000,0,0.14840984,0.118489966,-9.3406105,4000
155702600,0.008912702,-0.028537475,0.0044101165,4000,0,-1.083386,0.76070696,-10.63295,4000
155706599,0.03187206,0.05105066,0.0130827,3999,0,0.07979781,0.26619333,-9.825655,3999
155710600,0.0154083315,0.041967094,0.020242468,4001,0,-0.13223006,-0.08115195,-9.294392,4001
155714600,0.0426666,0.004239933,0.0042765005,4000,0,-0.5014597,0.2825589,-9.764224,4000
155718600,0.02731594,0.02895778,0.0027446654,4000,0,-0.34118637,0.7727511,-10.174911,4000
155722600,0.023174303,0.06744975,0.003460783,4000,0,-0.5870882,0.5415893,-9.772206,4000
155726600,0.063645266,0.027833775,-0.0046509164,4000,0,0.53671914,-0.104013,-9.346633,4000
155730600,0.03147008,0.022091733,0.0030958946,4000,0,-0.6943196,0.66800845,-10.408711,4000
155734600,0.031149026,0.094353616,-0.006496471,4000,0,-0.6474598,0.49948823,-10.008356,4000
155738600,0.07877905,0.012027332,-0.009616296,4000,0,0.32008424,-0.16119513,-9.719868,4000
155742600,0.032364536,0.028162444,-0.016287768,4000,0,-1.3624412,1.2283999,-10.275853,4000
155746602,0.043244712,0.11266265,-0.004936146,4002,0,0.80923676,0.55339277,-9.270934,4002
155750600,0.049848728,-0.017595733,0.0006271599,3998,0,-0.23684737,-0.40480697,-10.160636,3998
155754600,0.05174806,0.07879551,-0.015096733,4000,0,-1.9990098,1.5889435,-11.138945,4000
155758599,0.09201514,0.10166603,0.002982946,3999,0,1.5246818,-0.7135578,-8.839499,3999
155762600,0.005362849,-0.016641568,-0.016268294,4001,0,-1.5281795,1.4254471,-10.291948,4001
155766600,0.11248773,0.12167528,0.005090782,4000,0,-0.2926935,0.49817035,-10.185614,4000
155770601,0.032019533,0.04853316,0.008833809,4001,0,0.8967256,-0.77062565,-9.439222,4001
155774601,0.087594844,0.034650102,-0.005762231,4000,0,-2.0590904,2.181097,-10.502392,4000
155778601,0.11110897,0.14813183,0.009038036,4000,0,0.4879883,-1.3773084,-9.4139805,4000
155782601,0.025233146,0.04787524,-0.010099672,4000,0,0.09015229,1.8091527,-9.574499,4000
155786600,0.14533441,0.07817172,0.01237225,3999,0,-0.8490672,0.010906818,-11.296416,3999
155790599,0.040000435,0.12129716,0.0073810155,3999,0,0.05388983,0.027570354,-9.910027,3999
155794600,0.12872396,0.04870922,0.0033404531,4001,0,-0.4494517,1.7699018,-9.97437,4001
155798600,0.08646817,0.11962081,-0.0013990625,4000,0,-1.3483472,-1.0361313,-10.098869,4000
155802600,0.07509931,0.10153085,0.0035038192,4000,0,0.7519698,1.7786921,-10.414315,4000
155806600,0.17453362,0.08395409,0.020778641,4000,0,-0.7953368,-1.0878483,-11.08206,4000
155810600,0.052838653,0.10639917,-0.0035079655,4000,0,0.6289015,1.6857221,-10.157633,4000
155814599,0.122611575,0.117364176,-0.010229842,3999,0,-0.49904913,0.14422125,-9.604317,3999
155818600,0.10210055,0.11325786,0.011449456,4001,0,0.6868976,0.7644047,-10.326086,4001
155822600,0.16308095,0.096080884,0.015944494,4000,0,-1.0701388,-0.095646404,-10.431491,4000
155826600,0.057159062,0.1546065,-0.006053295,4000,0,0.32337618,1.7966031,-8.867011,4000
155830601,0.17818733,0.081961356,-0.00041703755,4001,0,-0.6485746,-1.0688466,-9.964358,4001
155834603,0.116761774,0.16439588,0.007460444,4002,0,0.30762735,1.6210083,-9.441085,4002
155838600,0.13171501,0.14420718,0.00491287,3997,0,-0.5102135,0.1432584,-8.688807,3997
155842600,0.15902363,0.12759583,-0.026355833,4000,0,1.0113916,0.020622838,-9.299839,4000
155846600,0.1320671,0.09050299,-0.01174892,4000,0,-1.1049732,0.94474554,-10.497309,4000
155850600,0.19707355,0.16373993,-0.016214417,4000,0,-0.012821217,-0.77320117,-9.951405,4000
155854600,0.04110998,0.1937724,-0.03515294,4000,0,-0.4201867,1.041384,-8.577937,4000
155858600,0.10539285,0.14729935,-0.035749216,4000,0,0.67168313,-0.25754473,-10.6955,4000
155862600,0.22030202,0.15344316,-0.010584275,4000,0,-1.9336663,0.7776567,-10.701693,4000
155866600,0.008001614,0.18336888,-0.03300893,4000,0,1.2627653,1.0287523,-7.258027,4000
155870600,0.2062507,0.03764931,-0.02732949,4000,0,-0.16185312,-0.9088301,-9.814608,4000
155874600,0.13177913,0.11445502,-0.017942593,4000,0,-0.8072404,0.94514644,-10.328485,4000
155878601,0.09476405,0.19421396,-0.0434626,4001,0,1.2672893,1.2845616,-9.434771,4001
155882600,0.22447754,-0.019950567,-0.036612775,3999,0,-0.083816305,-1.5475338,-9.278342,3999
155886601,0.11873074,0.010620944,-0.026687643,4001,0,-1.2077754,1.1384287,-12.353705,4001
155890600,0.07419545,0.1764142,-0.04418166,3999,0,0.9066434,1.1343335,-10.462905,3999
155894600,0.16967916,0.008212022,-0.047375005,4000,0,-0.17433392,-1.76071,-9.426431,4000
155898600,0.053082168,0.0008281287,-0.03313803,4000,0,-0.3882305,1.6824062,-12.352124,4000
155902601,0.09427456,0.18377954,-0.04560661,4001,0,0.0821246,0.8837304,-10.779793,4001
155906601,0.1239509,0.00018258128,-0.049995136,4000,0,0.43884033,-0.9480863,-9.635754,4000
155910600,0.05122804,-0.015633026,-0.047114946,3999,0,-1.0310258,1.3382537,-11.87445,3999
155914601,0.047845397,0.1960771,-0.06558621,4001,0,-0.40677145,0.9718708,-12.685725,4001
155918602,0.112520374,0.015322668,-0.06885779,4001,0,0.3563043,-1.4927211,-11.47224,4001
155922600,0.0143251745,0.011340194,-0.05350548,3998,0,-0.5928822,2.0929122,-12.680543,3998
155926600,0.06441598,0.22303349,-0.08282862,4000,0,0.11927847,0.59425414,-11.870329,4000
155930600,0.06106561,0.010656016,-0.07038477,4000,0,-0.4510315,-1.9311669,-12.227352,4000
155934600,0.00582709,0.078560166,-0.05896267,4000,0,-1.4959588,2.6024153,-14.211339,4000
155939400,0.05187856,0.25135398,-0.09394545,4800,0,2.0893624,0.5335428,-11.4689665,4800
155943400,-0.058348592,-0.030142399,-0.07933067,4000,0,-1.0052651,-0.7169557,-13.502255,4000
155947400,0.12218712,0.16536662,-0.078774154,4000,0,-2.6401675,2.9302025,-14.323178,4000
155951400,0.109740846,0.15658386,-0.10356244,4000,0,3.2606568,-2.9638712,-10.82429,4000
155955400,-0.18712436,-0.027264688,-0.080468304,4000,0,-1.7474328,1.8582306,-15.061051,4000
155959399,0.157069,0.24125503,-0.10693481,3999,0,-1.4748893,2.0583663,-13.937362,3999
155963401,0.080160715,0.05453749,-0.09416226,4002,0,2.5382755,-3.7078578,-12.348928,4002
155967400,-0.101230256,0.04144113,-0.09564309,3999,0,-2.0487585,4.9678483,-14.4066925,3999
155971400,0.28339168,0.21170832,-0.12712654,4000,0,1.8000162,-1.1219354,-11.434979,4000
155975402,-0.07783014,-0.042384133,-0.09226959,4002,0,-0.5912461,-1.8234413,-14.099496,4002
155979400,0.10304222,0.10384707,-0.11221322,3998,0,-2.3808587,5.7329106,-14.98915,3998
155983400,0.18888888,0.05645423,-0.10909206,4000,0,3.4854665,-5.3420897,-13.584948,4000
155987400,-0.20286565,-0.053702846,-0.11599039,4000,0,-1.6028755,4.8358765,-15.687319,4000
155991400,0.42228797,0.072826706,-0.13500519,4000,0,-0.19079731,0.04809467,-14.732087,4000
155995400,-0.013018326,-0.10924032,-0.10585929,4000,0,1.0302823,-4.5056705,-13.567784,4000
155999401,0.03735145,-0.057022955,-0.14118409,4001,0,-1.7907069,7.987548,-13.284986,4001
156003400,0.30559936,-0.053245116,-0.13527437,3999,0,2.4116862,-6.643332,-13.597724,3999
156007399,-0.26528606,-0.12263014,-0.14233041,3999,0,-1.0785681,4.4736977,-14.55575,3999
156011401,0.3930182,-0.14504576,-0.14292063,4002,0,0.20629677,0.5317452,-15.022114,4002
156015402,-0.05674552,-0.22538777,-0.120319024,4001,0,-1.0193472,-4.4903293,-16.955765,4001
156019400,-0.014063201,-0.09936769,-0.15593614,3998,0,-0.40489504,7.922519,-13.988852,3998
156023402,0.23081023,-0.19976896,-0.13324812,4002,0,1.8536472,-7.3171473,-14.72411,4002
156027400,-0.30885896,-0.14349014,-0.157911,3998,0,-2.0460958,5.5635505,-15.223958,3998
156031400,0.37744483,-0.14533207,-0.1367356,4000,0,0.48718035,-0.7957219,-15.545899,4000
156035401,-0.1816325,-0.16653317,-0.13289566,4001,0,-1.5160539,-2.7285547,-17.83877,4001
156039400,0.019931825,-0.014731813,-0.15785454,3999,0,-0.800499,6.420454,-14.916374,3999
156043400,0.13930194,-0.11446111,-0.12936175,4000,0,0.81721216,-7.127884,-16.345688,4000
156047400,-0.2705967,-0.004315079,-0.1586897,4000,0,-1.5116692,6.6270785,-15.29827,4000
156051399,0.2724964,-0.049936444,-0.1333334,3999,0,2.0948596,-3.5444877,-15.338271,3999
156055400,-0.2477393,-0.03572993,-0.15781094,4001,0,-2.4680057,1.7657442,-17.04144,4001
156059401,0.14859936,0.03247241,-0.14323455,4001,0,0.6250997,1.9715116,-14.24643,4001
156063400,-0.10041635,-0.014720838,-0.13482818,3999,0,0.027444195,-2.8202512,-17.36785,3999
156067400,-0.046859752,0.07269131,-0.14923303,4000,0,-1.6273293,4.249471,-17.025023,4000
156071400,0.037082136,0.038077217,-0.123983435,4000,0,0.7642605,-4.12324,-18.17744,4000
156075401,-0.12511647,0.10673373,-0.15654536,4001,0,-2.0931613,4.9316106,-17.835512,4001
156079400,0.16510671,0.07646308,-0.12606941,3999,0,1.6355289,-3.8990002,-16.291351,3999
156083400,-0.17618963,0.06321112,-0.15806313,4000,0,-1.5491161,3.7492216,-16.619656,4000
156087400,0.16199997,0.05665265,-0.14306667,4000,0,0.9080352,-1.5529424,-15.97859,4000
156091399,-0.11269269,0.06609156,-0.15205489,3999,0,-1.5919074,2.1544626,-16.441122,3999
156095401,0.1761166,0.05251719,-0.14867574,4002,0,0.52560693,-0.3862816,-17.038742,4002
156099400,-0.081585795,0.047556616,-0.14015925,3999,0,-0.39119077,0.52213556,-17.376709,3999
156107401,0.025936091,0.096267074,-0.12772997,4000,0,1.1776416,-1.5454078,-17.279198,4000
156111400,0.12909013,0.093976915,-0.14967078,3999,0,-1.4774702,3.2728603,-17.220982,3999
156115402,0.12285291,0.09656768,-0.12770009,4002,0,1.518039,-1.5536108,-16.361252,4002
156119401,0.15631872,0.098573774,-0.16892494,3999,0,-1.3531691,3.5346155,-16.147211,3999
156123401,0.21799812,0.100292824,-0.14098354,4000,0,1.1686808,-2.4237113,-14.911227,4000
156127401,0.14505523,0.060363583,-0.18441002,4000,0,-1.1996918,3.4594197,-16.647243,4000
156131401,0.31264842,0.107100055,-0.1319154,4000,0,1.116543,-1.7933065,-16.666296,4000
156135400,0.14782709,0.06535824,-0.16613854,3999,0,0.14861126,2.8867316,-17.302849,3999
156139399,0.35188127,-0.0076032234,-0.14523692,3999,0,-0.7244829,-1.0112493,-18.868103,3999
156143399,0.18299665,0.04118872,-0.1539201,4000,0,-0.50715,1.4107782,-17.04598,4000
156147400,0.3810402,-0.01768992,-0.16857104,4001,0,-0.79263294,0.43039912,-16.288067,4001
156151400,0.2067287,0.0002949598,-0.13451295,4000,0,1.328648,0.2492231,-15.227255,4000
156155401,0.33230722,-0.044046316,-0.17204326,4001,0,-1.1562618,0.25021145,-15.914226,4001
156159401,0.20686308,0.036650337,-0.13982323,4000,0,2.1283042,0.69940764,-15.220638,4000
156163400,0.27808484,-0.027784603,-0.16738228,3999,0,0.089335494,0.6447188,-15.95343,3999
156167400,0.13718846,-0.019036954,-0.14795056,4000,0,1.092835,-0.06179963,-15.549195,4000
156171402,0.20418791,-0.052173615,-0.16305088,4002,0,-1.5918231,1.0747448,-17.704197,4002
