timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
281089639,0.42762527,-0.048770558,0.11872756
281111090,0.42762527,-0.037068173,0.1281161
281135053,0.42762527,-0.02829138,0.1281161
281159058,0.42762527,-0.019514589,0.1281161
281183053,0.42464274,-0.010737799,0.13124561
281207145,0.42464274,-0.0019610072,0.13750465
281228648,0.42166016,0.009741381,0.13750465
281251668,0.42464274,0.018518172,0.13750465
281272644,0.42166016,0.024369365,0.13437513
281295691,0.4186776,0.033146154,0.14063415
281319647,0.4186776,0.041922946,0.14689317
281343678,0.40972993,0.05069974,0.15002269
281363640,0.40972993,0.05655093,0.14376366
281385643,0.40972993,0.06240212,0.15002269
281407140,0.41271248,0.06532773,0.15002269
281428694,0.40674737,0.07117891,0.14376366
281449646,0.40972993,0.07703011,0.14063415
281471943,0.41271248,0.07995571,0.13750465
281495928,0.41271248,0.088732496,0.12498658
281519926,0.40972993,0.0945837,0.13124561
281543953,0.41271248,0.100434884,0.12185707
281567172,0.40972993,0.10628608,0.11872756
281591696,0.40674737,0.11506287,0.10933902
281615082,0.40674737,0.120914064,0.1062095
281635647,0.40674737,0.12383967,0.11246853
281657638,0.4037648,0.13261646,0.1062095
281679676,0.40078226,0.13261646,0.1062095
281700642,0.40078226,0.13554205,0.115598045
281722737,0.39481717,0.13846765,0.10933902
281745639,0.39481717,0.14139324,0.12498658
281767857,0.39481717,0.14139324,0.13437513
281791922,0.38885203,0.14431885,0.13124561
281815926,0.3858695,0.14431885,0.13437513
281839929,0.3858695,0.14724444,0.13124561
281864690,0.3858695,0.14724444,0.13437513
281885638,0.38288692,0.15017003,0.14376366
281906646,0.38288692,0.15309563,0.15315221
281929689,0.3769218,0.15602122,0.14376366
281951818,0.3769218,0.15894683,0.15941124
281975819,0.3769218,0.15894683,0.15941124
281999889,0.3709567,0.15894683,0.15941124
282023924,0.3709567,0.15894683,0.16879977
282047850,0.3709567,0.15894683,0.16879977
282070722,0.3709567,0.15894683,0.1750588
282093639,0.3649916,0.15894683,0.18131782
282114681,0.3649916,0.15894683,0.18757685
282138668,0.36797413,0.15602122,0.19070637
282162674,0.3649916,0.15602122,0.1969654
